"Transport mode,2021 (thousand tonnes) emphasised ,% domestic transport emissions 2021,% change 2020 to 2021,% change 2011 to 2021,% change 1990 to 2021,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021"
"Road transport, Cars and taxis,126.1,58%,5%,-75%,-97%,""4,212"",""4,301"",""4,181"",""4,016"",""3,753"",""3,566"",""3,565"",""3,223"",""3,028"",""2,827"",""2,486"",""2,262"",""2,056"",""1,856"",""1,675"",""1,470"",""1,289"",""1,155"",""1,010"",720,622,500,439,375,308,277,239,209,187,173,121,126"
"Road transport, Light vans,7.8,4%,-5%,-79%,-99%,577,581,532,496,463,420,400,356,318,275,218,179,146,125,105,87,73,66,58,48,44,38,33,29,24,21,18,15,13,11,8,8"
"Road transport, Heavy goods vehicles,8.3,4%,-8%,-75%,-85%,55,54,52,53,52,52,51,50,49,48,48,47,47,47,48,48,47,45,40,35,35,33,32,30,27,24,21,18,14,12,9,8"
"Road transport, Buses and coaches,1.9,1%,4%,-74%,-89%,18,19,18,18,17,18,17,15,14,13,11,10,10,10,9,9,9,8,8,7,8,7,7,7,6,6,5,4,4,3,2,2"
"Road transport, Motorcycles and mopeds,8.4,4%,8%,-73%,-92%,110,106,89,74,74,75,76,81,85,93,84,82,82,86,69,66,52,50,41,39,33,31,26,24,23,20,16,15,13,12,8,8"
"Road transport, total,152.6,70%,3%,-75%,-97%,""4,971"",""5,061"",""4,872"",""4,658"",""4,359"",""4,130"",""4,109"",""3,725"",""3,494"",""3,256"",""2,847"",""2,580"",""2,340"",""2,124"",""1,906"",""1,680"",""1,471"",""1,325"",""1,157"",850,741,608,537,465,388,348,299,261,231,210,147,153"
"Non-road transport, Rail transport,4.7,2%,9%,-16%,9%,4,4,6,6,5,5,5,5,6,6,6,5,4,4,5,5,7,7,7,6,6,6,6,5,5,5,5,5,6,5,4,5"
"Non-road transport, Aviation - LTO [note 2],13.5,6%,161%,-49%,-58%,33,31,32,30,34,34,37,42,39,49,57,62,53,50,55,56,50,38,34,26,26,26,23,22,24,19,20,21,19,17,5,14"
"Non-road transport, Shipping,43.6,20%,9%,23%,138%,18,19,19,20,22,23,24,24,25,26,26,26,28,29,30,31,32,33,34,35,36,36,35,36,38,40,41,44,45,46,40,44"
"Other non-road transport,0.4,0%,-20%,-79%,-69%,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0"
"Non-road transport, total,62.2,29%,25%,-10%,10%,56,55,59,58,62,64,68,73,72,83,91,95,87,85,91,94,90,80,77,69,70,69,66,65,69,66,69,72,72,70,50,62"
"Military, Aircraft,2.7,1%,2%,-46%,-73%,10,7,7,8,7,7,7,6,6,6,5,5,6,6,5,5,7,8,6,6,5,5,5,4,4,3,3,3,3,3,3,3"
"Military, Shipping,0.5,0%,48%,-39%,-64%,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1"
"Military, total,3.3,1%,8%,-45%,-72%,12,9,9,9,9,8,8,8,7,7,6,6,7,7,6,6,8,8,7,6,6,6,5,5,4,4,3,3,3,4,3,3"
"Transport, total,218.0,100%,9%,-68%,-96%,""5,039"",""5,125"",""4,940"",""4,724"",""4,430"",""4,202"",""4,186"",""3,806"",""3,574"",""3,346"",""2,944"",""2,681"",""2,435"",""2,216"",""2,004"",""1,780"",""1,569"",""1,413"",""1,241"",925,817,684,608,535,462,418,372,336,306,284,200,218"
"National total reported to the UNECE,""1,334.2"",[z],-10%,-35%,-83%,""7,732"",""7,836"",""7,489"",""7,195"",""6,783"",""6,379"",""6,356"",""6,022"",""5,748"",""5,379"",""4,906"",""4,571"",""4,034"",""3,782"",""3,473"",""3,293"",""3,136"",""3,097"",""2,577"",""2,099"",""2,014"",""1,934"",""1,823"",""1,795"",""1,697"",""1,645"",""1,476"",""1,500"",""1,529"",""1,459"",""1,315"",""1,334"""
"Transport as a percentage of National Total (%),16%,[z],[z],[z],[z],65%,65%,66%,66%,65%,66%,66%,63%,62%,62%,60%,59%,60%,59%,58%,54%,50%,46%,48%,44%,41%,35%,33%,30%,27%,25%,25%,22%,20%,19%,15%,16%"
"Transport memo items [note 3]: Aviation: cruise [note 2],5.9,[z],-61%,-58%,-58%,16,14,14,15,14,14,14,14,15,16,16,15,15,15,16,17,18,17,17,16,16,16,15,15,15,16,16,17,17,17,7,6"
"Transport memo items [note 3]: International shipping,8.5,[z],-12%,-25%,-4%,9,9,9,9,8,9,9,10,11,9,8,9,8,7,9,9,10,10,13,13,11,12,11,11,12,10,11,11,10,10,8,9"
